Original size
Matrix size [24 x 216],[216 x 2108],[24 x 2108] GPU : [188.665018GFLOPS, 0.000161ms]
Matrix size [128 x 184],[184 x 527],[128 x 527] GPU : [176.744070GFLOPS, 0.000148ms]
Matrix size [32 x 184],[184 x 2108],[32 x 2108] GPU : [186.658735GFLOPS, 0.000140ms]
Matrix size [96 x 288],[288 x 527],[96 x 527] GPU : [202.024995GFLOPS, 0.000193ms]
Matrix size [16 x 184],[184 x 2108],[16 x 2108] GPU : [158.143942GFLOPS, 0.000082ms]
Matrix size [32 x 144],[144 x 2108],[32 x 2108] GPU : [178.565603GFLOPS, 0.000110ms]
Matrix size [32 x 288],[288 x 527],[32 x 527] GPU : [115.600003GFLOPS, 0.000084ms]
Matrix size [128 x 256],[256 x 527],[128 x 527] GPU : [192.050956GFLOPS, 0.000181ms]
Matrix size [32 x 256],[256 x 527],[32 x 527] GPU : [111.112388GFLOPS, 0.000078ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [33.942858GFLOPS, 0.000036ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [39.911812GFLOPS, 0.000030ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [44.989350GFLOPS, 0.000027ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [53.923406GFLOPS, 0.000023ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [55.701100GFLOPS, 0.000022ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [56.112179GFLOPS, 0.000022ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [54.699282GFLOPS, 0.000022ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [54.308573GFLOPS, 0.000022ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [41.775825GFLOPS, 0.000029ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [49.211652GFLOPS, 0.000025ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [52.983974GFLOPS, 0.000023ms]
Matrix size [96 x 32],[32 x 144],[96 x 144] GPU : [53.923406GFLOPS, 0.000023ms] 
(64,16,16 kernel used)

Zero-padding
Matrix size [128 x 192],[192 x 528],[128 x 528] GPU : [176.361714GFLOPS, 0.000148ms]
Matrix size [32 x 192],[192 x 2112],[32 x 2112] GPU : [125.372091GFLOPS, 0.000208ms]
Matrix size [128 x 288],[288 x 528],[128 x 528] GPU : [190.219873GFLOPS, 0.000205ms]
Matrix size [16 x 192],[192 x 2112],[16 x 2112] GPU : [112.601108GFLOPS, 0.000116ms]
Matrix size [32 x 144],[144 x 2112],[32 x 2112] GPU : [111.817438GFLOPS, 0.000175ms]
Matrix size [32 x 288],[288 x 528],[32 x 528] GPU : [123.806900GFLOPS, 0.000079ms]
Matrix size [128 x 256],[256 x 528],[128 x 528] GPU : [166.882095GFLOPS, 0.000208ms]
Matrix size [32 x 256],[256 x 528],[32 x 528] GPU : [94.726704GFLOPS, 0.000092ms]
Matrix size [128 x 32],[32 x 144],[128 x 144] GPU : [43.571348GFLOPS, 0.000028ms]
Matrix size [128 x 32],[32 x 144],[128 x 144] GPU : [38.594925GFLOPS, 0.000032ms]
Matrix size [128 x 32],[32 x 144],[128 x 144] GPU : [44.333529GFLOPS, 0.000027ms]
Matrix size [128 x 32],[32 x 144],[128 x 144] GPU : [48.428027GFLOPS, 0.000025ms]
Matrix size [128 x 32],[32 x 144],[128 x 144] GPU : [50.688001GFLOPS, 0.000024ms]
Matrix size [128 x 32],[32 x 144],[128 x 144] GPU : [53.169232GFLOPS, 0.000023ms]
Matrix size [128 x 32],[32 x 144],[128 x 144] GPU : [53.543663GFLOPS, 0.000023ms]
Matrix size [128 x 32],[32 x 144],[128 x 144] GPU : [41.321740GFLOPS, 0.000029ms]

